name,slug,shortName,position,jerseyNumber,height,userCount,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,firstName,lastName,shirtNumber,substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,totalClearance,savedShotsFromInsideTheBox,saves,minutesPlayed,touches,rating,possessionLostCtrl,ratingVersions,totalCross,accurateCross,duelLost,duelWon,challengeLost,totalContest,wonContest,fouls,keyPass,aerialWon,shotOffTarget,onTargetScoringAttempt,goals,interceptionWon,totalTackle,blockedScoringAttempt,outfielderBlock,wasFouled,aerialLost,dispossessed,totalOffside,captain,team,teamType,punches,hitWoodwork
Harold Balanta,harold-balanta,H. Balanta,D,18,180.0,7,1129436,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,890006400.0,"{'value': 110000, 'currency': 'EUR'}",Harold Balanta,,18,False,22.0,19.0,3.0,1.0,0.0,4.0,,,90.0,31.0,6.5,4.0,"{'original': 6.5, 'alternative': None}",,,3.0,2.0,,,,,,,,,,1.0,,,,2.0,2.0,1.0,,,Fortaleza CEIF,away,,
Diego Ruiz,diego-ruiz,D. Ruiz,D,30,,3,974032,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,875750400.0,"{'value': 205000, 'currency': 'EUR'}",,,30,False,36.0,28.0,5.0,3.0,0.0,8.0,,,90.0,56.0,6.8,11.0,"{'original': 6.8, 'alternative': None}",3.0,2.0,3.0,2.0,,,,2.0,2.0,2.0,,,,,,,,,1.0,,,,Fortaleza CEIF,away,,
David Camacho,david-camacho,D. Camacho,M,22,188.0,26,879886,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,866073600.0,"{'value': 390000, 'currency': 'EUR'}",,,22,False,21.0,15.0,,,0.0,2.0,,,79.0,35.0,6.8,9.0,"{'original': 6.8, 'alternative': None}",1.0,,5.0,3.0,1.0,,,2.0,,1.0,1.0,1.0,,,2.0,1.0,,,1.0,1.0,,,Fortaleza CEIF,away,,
Leonardo Pico,leonardo-pico,L. Pico,M,14,177.0,24,820043,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,686534400.0,"{'value': 205000, 'currency': 'EUR'}",,,14,False,32.0,28.0,2.0,1.0,0.0,1.0,,,79.0,38.0,6.6,6.0,"{'original': 6.6, 'alternative': None}",,,2.0,,1.0,,,,,,1.0,,,,,,,,,1.0,,,Fortaleza CEIF,away,,
Ronaldo Pájaro,ronaldo-pajaro,R. Pájaro,M,13,172.0,36,1175016,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1013990400.0,"{'value': 855000, 'currency': 'EUR'}",Ronaldo Pájaro,,13,False,39.0,31.0,4.0,,0.0,1.0,,,90.0,46.0,6.5,12.0,"{'original': 6.5, 'alternative': None}",1.0,,6.0,3.0,2.0,1.0,1.0,2.0,2.0,1.0,,,,,1.0,,,,,2.0,,True,Fortaleza CEIF,away,,
Kelvin Florez,kelvin-florez,K. Florez,M,16,177.0,25,1388938,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1076112000.0,"{'value': 195000, 'currency': 'EUR'}",Kelvin Florez,,16,False,17.0,11.0,1.0,,0.0,1.0,,,68.0,28.0,6.6,11.0,"{'original': 6.6, 'alternative': None}",1.0,,6.0,3.0,1.0,4.0,1.0,,,,1.0,,,,1.0,,,1.0,1.0,1.0,,,Fortaleza CEIF,away,,1.0
Luis Sánchez,luis-sanchez,L. Sánchez,M,10,171.0,96,963525,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,969235200.0,"{'value': 425000, 'currency': 'EUR'}",,,10,False,40.0,28.0,3.0,1.0,0.0,,,,73.0,53.0,7.2,16.0,"{'original': 7.2, 'alternative': None}",,,2.0,3.0,,2.0,1.0,,4.0,,1.0,,,,,,1.0,2.0,,1.0,,,Fortaleza CEIF,away,,
Emilio Aristizábal,aristizabal-emilio,E. Aristizábal,F,19,187.0,205,1517148,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1123200000.0,"{'value': 385000, 'currency': 'EUR'}",Emilio Aristizábal,,19,False,9.0,5.0,1.0,,0.0,,,,73.0,13.0,6.5,6.0,"{'original': 6.5, 'alternative': None}",,,2.0,1.0,,,,1.0,,,,,,,,,,1.0,,1.0,,,Fortaleza CEIF,away,,
Jhon Martínez,jhon-martinez,J. Martínez,F,7,186.0,29,1628440,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1129766400.0,,Jhon Martínez,,7,True,7.0,6.0,,,0.0,,,,22.0,15.0,6.8,5.0,"{'original': 6.8, 'alternative': None}",1.0,,3.0,1.0,,1.0,1.0,,1.0,,1.0,,,,,,,,1.0,2.0,,,Fortaleza CEIF,away,,
Jhoiner Salas,jhoiner-salas,J. Salas,M,24,,13,1612110,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1065571200.0,,,,24,True,12.0,10.0,,,0.0,,,,17.0,17.0,6.7,4.0,"{'original': 6.7, 'alternative': None}",1.0,1.0,2.0,1.0,,1.0,1.0,,1.0,,,,,1.0,,,,,1.0,1.0,,,Fortaleza CEIF,away,,
Andrés Ricaurte,andres-ricaurte,A. Ricaurte,M,8,182.0,115,285527,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,686448000.0,"{'value': 270000, 'currency': 'EUR'}",,,8,True,12.0,10.0,,,0.0,,,,17.0,14.0,6.7,3.0,"{'original': 6.7, 'alternative': None}",,,2.0,1.0,,,,1.0,2.0,1.0,1.0,,,,,,,,,1.0,,,Fortaleza CEIF,away,,
Santiago Cuero,santiago-cuero,S. Cuero,D,15,179.0,36,1478347,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1091145600.0,"{'value': 340000, 'currency': 'EUR'}",Santiago Cuero,,15,True,1.0,1.0,1.0,1.0,0.0,,,,11.0,3.0,6.2,,"{'original': 6.2, 'alternative': None}",,,1.0,,,,,,,,,,,,,1.0,,,1.0,,,,Fortaleza CEIF,away,,
David Barrera,david-barrera,D. Barrera,M,25,,7,1489813,{},EUR,,,,,25,True,11.0,10.0,1.0,1.0,0.0,,,,11.0,12.0,6.6,1.0,"{'original': 6.6, 'alternative': None}",,,,,,,,,,,1.0,,,,,,,,,,,,Fortaleza CEIF,away,,
Juan Castillo,juan-castillo,J. Castillo,G,1,191.0,69,1175004,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1042416000.0,"{'value': 830000, 'currency': 'EUR'}",Juan Castillo,,1,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fortaleza CEIF,away,,
Yesid Díaz,yesid-diaz,Y. Díaz,D,6,191.0,15,974309,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,869702400.0,"{'value': 410000, 'currency': 'EUR'}",,,6,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fortaleza CEIF,away,,
