name,firstName,lastName,slug,shortName,position,jerseyNumber,height,userCount,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,fieldTranslations,shirtNumber,substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,savedShotsFromInsideTheBox,saves,minutesPlayed,touches,rating,possessionLostCtrl,ratingVersions,totalCross,accurateCross,aerialLost,aerialWon,duelLost,duelWon,totalContest,wonContest,bigChanceCreated,shotOffTarget,totalClearance,outfielderBlock,fouls,keyPass,dispossessed,interceptionWon,totalTackle,wasFouled,challengeLost,bigChanceMissed,hitWoodwork,onTargetScoringAttempt,blockedScoringAttempt,captain,team,teamType,goodHighClaim,totalOffside
Juan Quintero,,,juan-quintero,Juan Quintero,D,3,183,140,589394,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,795916800,"{'value': 670000, 'currency': 'EUR'}",,3,False,18.0,16.0,3.0,2.0,0.0,,,90.0,34.0,7.7,2.0,"{'original': 7.7, 'alternative': None}",,,1.0,1.0,1.0,3.0,,,,,9.0,2.0,,,,3.0,2.0,,,,,,,True,Deportivo Cali,away,,
José Caldera,José Caldera,,jose-caldera,J. Caldera,D,12,185,41,1127886,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1012780800,"{'value': 470000, 'currency': 'EUR'}",,12,False,17.0,11.0,6.0,5.0,0.0,,,90.0,39.0,7.8,7.0,"{'original': 7.8, 'alternative': None}",,,1.0,2.0,4.0,6.0,,,,,8.0,2.0,1.0,,1.0,4.0,4.0,,1.0,,,,1.0,,Deportivo Cali,away,,
Yulián Gómez,,,yulian-gomez,Y. Gómez,D,26,170,30,891452,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,870652800,"{'value': 440000, 'currency': 'EUR'}",,26,False,18.0,10.0,4.0,1.0,0.0,,,81.0,36.0,7.0,15.0,"{'original': 7, 'alternative': None}",3.0,,,3.0,1.0,5.0,2.0,1.0,,,1.0,,,,,,,1.0,,,,2.0,,,Deportivo Cali,away,,2.0
Jarlan Barrera,,,jarlan-barrera,J. Barrera,M,7,171,286,796511,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,811209600,"{'value': 595000, 'currency': 'EUR'}",,7,False,29.0,24.0,3.0,1.0,0.0,,,71.0,39.0,7.2,8.0,"{'original': 7.2, 'alternative': None}",2.0,2.0,1.0,,2.0,1.0,1.0,,,,,,,4.0,,,,1.0,,,,1.0,,,Deportivo Cali,away,,
Victor Mejia,,,victor-mejia,V. Mejia,M,6,182,20,355878,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,728784000,"{'value': 390000, 'currency': 'EUR'}",,6,False,27.0,20.0,5.0,2.0,0.0,,,90.0,40.0,6.7,11.0,"{'original': 6.7, 'alternative': None}",,,2.0,2.0,5.0,4.0,,,,,4.0,,2.0,1.0,1.0,,1.0,1.0,,,,,,,Deportivo Cali,away,,
Jean Colorado,,,colorado-jean,J. Colorado,M,23,180,34,985106,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,968630400,"{'value': 485000, 'currency': 'EUR'}",,23,False,21.0,19.0,4.0,3.0,0.0,,,81.0,37.0,7.0,5.0,"{'original': 7, 'alternative': None}",1.0,1.0,,2.0,3.0,6.0,2.0,2.0,,,3.0,1.0,,,2.0,,1.0,1.0,1.0,,,,,,Deportivo Cali,away,,
Yeison Gordillo,,,yeison-gordillo,Y. Gordillo,M,30,176,75,285429,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,709430400,"{'value': 310000, 'currency': 'EUR'}",,30,False,7.0,5.0,,,0.0,,,29.0,10.0,6.5,4.0,"{'original': 6.5, 'alternative': None}",,,1.0,,1.0,,,,,,,,,,,,,,,,,,1.0,,Deportivo Cali,away,,
Emiliano Rodriguez,,,rodriguez-emiliano,E. Rodriguez,F,9,190,366,1177548,"{'alpha2': 'UY', 'alpha3': 'URY', 'name': 'Uruguay', 'slug': 'uruguay'}",EUR,1058313600,"{'value': 1300000, 'currency': 'EUR'}",,9,False,16.0,10.0,2.0,,0.0,,,71.0,29.0,6.4,14.0,"{'original': 6.4, 'alternative': None}",,,1.0,2.0,7.0,5.0,3.0,1.0,,1.0,,,1.0,,3.0,,1.0,1.0,1.0,,,,,,Deportivo Cali,away,,1.0
Javier Reina,,,javier-reina,J. Reina,M,10,173,58,590378,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,599875200,"{'value': 210000, 'currency': 'EUR'}",,10,False,37.0,30.0,5.0,3.0,0.0,,,90.0,54.0,7.3,10.0,"{'original': 7.3, 'alternative': None}",2.0,2.0,2.0,,3.0,5.0,1.0,1.0,,,1.0,,1.0,1.0,,1.0,3.0,1.0,,,,,,,Deportivo Cali,away,,
Rafael Bustamante,,,rafael-bustamante,R. Bustamante,M,5,176,37,934421,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,938822400,"{'value': 420000, 'currency': 'EUR'}",,5,True,12.0,12.0,1.0,1.0,0.0,,,61.0,21.0,6.8,2.0,"{'original': 6.8, 'alternative': None}",1.0,,,,1.0,2.0,,,,1.0,,,1.0,,,2.0,,2.0,,,,,,,Deportivo Cali,away,,
Cristian Graciano,,,graciano-cristian,C. Graciano,D,44,176,28,1476923,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1052784000,"{'value': 325000, 'currency': 'EUR'}",,44,True,4.0,2.0,,,0.0,,,19.0,10.0,6.9,3.0,"{'original': 6.9, 'alternative': None}",,,,,1.0,3.0,,,,,1.0,,1.0,,,1.0,3.0,,,,,,,,Deportivo Cali,away,,
Andrey Estupiñán,,,andrey-estupinan,A. Estupiñán,F,11,175,124,944462,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,773366400,"{'value': 320000, 'currency': 'EUR'}",,11,True,7.0,3.0,1.0,,0.0,,,19.0,15.0,6.5,6.0,"{'original': 6.5, 'alternative': None}",,,4.0,,6.0,4.0,1.0,,,,,,1.0,,,,2.0,2.0,,,,,1.0,,Deportivo Cali,away,,
Guzmán Corujo,,,guzman-corujo,G. Corujo,D,16,189,116,874970,"{'alpha2': 'UY', 'alpha3': 'URY', 'name': 'Uruguay', 'slug': 'uruguay'}",EUR,838944000,"{'value': 390000, 'currency': 'EUR'}",,16,True,4.0,4.0,1.0,1.0,0.0,,,9.0,6.0,6.7,,"{'original': 6.7, 'alternative': None}",,,,,,,,,,,2.0,,,,,,,,,,,,,,Deportivo Cali,away,,
Fabián Castillo,,,fabian-castillo,F. Castillo,F,8,172,107,151561,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,708739200,"{'value': 195000, 'currency': 'EUR'}",,8,True,2.0,2.0,,,0.0,,,9.0,4.0,6.5,1.0,"{'original': 6.5, 'alternative': None}",,,,,,,,,,,,,,,,1.0,,,,,,,,,Deportivo Cali,away,,
Gastón Guruceaga,,,gaston-guruceaga,G. Guruceaga,G,22,190,73,589614,"{'alpha2': 'UY', 'alpha3': 'URY', 'name': 'Uruguay', 'slug': 'uruguay'}",EUR,795225600,"{'value': 380000, 'currency': 'EUR'}",,22,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Deportivo Cali,away,,
Juan Angulo,,,juan-angulo,J. Angulo,D,13,178,45,38170,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,591235200,"{'value': 46000, 'currency': 'EUR'}",,13,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Deportivo Cali,away,,
